cmd,time,loc,pref
홍대입구역 근처에서 한식 잘하는곳 있나요?,없음,홍대입구역,한식
홍대입구역 근처 분위기 좋은 술집 알려주세요.,저녁,홍대입구역,분위기 좋은 술집
성수동 카페거리 예쁜 카페 추천해주세요!,없음,성수동 카페거리,예쁜 카페
강남역 근처 맛집 알려주세요!,점심,강남역,없음
강남역 주변에 점심 먹기 좋은 곳 있나요?,점심,강남역,없음
강남구청역 근처에 맛있는 파스타집을 추천해주세요.,없음,강남구청역,맛있는 파스타
강남역 주변에 괜찮은 술집 있나요?,저녁,강남역,술을 마실 수 있는 곳
강남역 주변에 분위기 좋은 술집 있나요?,저녁,강남역,분위기 좋은 술집
오늘 저녁은 뭘 먹을까요?,없음,없음,없음
"서울에서 저녁식사로 삼겹살을 먹으려고 하는데, 괜찮은 곳 좀 소개해 주세요.",저녁,서울,삼겹살
강남역에서 여자친구랑 데이트 하기 좋은 식당 알려주세요.,점심,강남역,데이트
을지로 3가 역 근처 맛있는 곳 좀 알려줘.,없음,을지로3가,없음
인사동에서 데이트하기 좋은 곳 있나요?,없음,인사동,데이트 코스
강남역에서 소개팅하기 좋은 곳 알려주세요.,없음,강남역,소개팅 장소
이태원 루프탑바 중 분위기 좋고 음식 맛있는 곳 추천해주세요.,저녁,이태원,"루프탑 바, 분위기 좋음, 음식 맛있음"
여의도 한강공원 근처에 치킨 배달 시킬 만한 곳 있니?,없음,여의도 한강공원,치킨 배달
강남에서 갈만한 술집 있나요?,저녁,강남,분위기 좋은 술집
서울 근교로 드라이브 갈만한 곳 있나요?,없음,서울,운전하기 편한 도로
6월 2일 저녁에 친구들이랑 같이 갈만한 강남역 맛집 추천해주세요.,저녁,강남역,친구들과 함께 가기 좋은 식당
이번 주 금요일에 인천에서 소개팅할 분위기 좋은 식당 골라줘.,없음,인천,소개팅하기 좋은 분위기
"출장 중인데, 이 지역에서 유명한 음식점이 있을까요?",없음,없음,없음
부산 해운대 달맞이길 카페 추천해주세요.,없음,달맞이길,카페
점심으로 먹기 좋은 음식점 알려주세요.,점심,없음,없음
강남역에서 혼밥하기 좋은 곳 추천해주세요!,없음,강남역,혼밥
오늘은 뭐 먹지?,없음,없음,없음
강남역에서 가까운 맛집 알려주세요~,점심,강남역,없음
홍대에서 여자친구랑 데이트 할건데 분위기 좋고 가격도 적당한 레스토랑 추천해주세요~,없음,홍대,"분위기, 가격 적당"
강남역에서 혼밥하기 좋은 곳이 어디있을까요?,없음,강남역,혼밥
오늘 저녁은 뭐 먹지?,저녁,없음,없음
강남역 주변 분위기 좋은 술집 있나요?,저녁,강남역,분위기 좋은 술집
강남구청역 근처에 맛있는 고기집 추천해주세요.,없음,강남구청역,맛있는 고기집
강남역 주변에 혼밥하기 좋은 맛집 좀 알려줘.,점심,강남역,혼밥하기 좋은 곳
성수역 근처 카페 추천해주세요!,없음,성수역,카페
압구정로데오역 근처 맛집 알려주세요~,없음,압구정로데오역,없음
이태원 경리단길의 분위기 좋은 카페를 알려주세요.,없음,이태원 경리단길,분위기 좋은 카페
강남역 근처의 맛있는 피자집이 있나요?,점심,강남역,피자
이태원에서 분위기 좋은 펍 추천해주세요.,없음,이태원,분위기 좋은 펍
강남역 맛집 좀 알려주세요.,없음,강남역,없음
홍대입구역 근처에 분위기 좋고 조용한 카페 있나요?,없음,홍대입구역,분위기 좋고 조용한 카페
종로 맛집 알려주세요.,없음,종로,없음
강남역에서 스터디 할만한 카페 있나요?,없음,강남역,스터디 가능한 카페
강남역 근처에 점심으로 먹기 좋은 맛집 있나요?,없음,강남역,없음
홍대 근처의 분위기 좋은 카페를 알려줘.,없음,홍대,분위기 좋은 곳
점심으로 뭐 먹을까?,점심,없음,없음
건대입구역 부근 카페 추천해주세요.,없음,건대입구역,카페
홍대 근처의 가성비 좋은 스테이크집 알려주세요.,없음,홍대,가성비 좋은 스테이크
강남역에서 소개팅하기 좋은 장소 좀 추천해주세요.,없음,강남역,소개팅
성신여대 근처에 혼술하기 좋은 맥주집 추천해주세요.,없음,성신여대,혼술하기 좋은 맥주집
신촌에서 밥 먹을건데 추천해주세요!!,없음,신촌,없음
오늘 점심은 뭐 먹지?,점심,없음,없음
홍대 근처에서 혼밥하기 좋은 곳 추천해주세요.,점심,홍대,혼밥 가능한 식당
오늘 점심은 뭐 먹을까요?,없음,없음,없음
점심으로 먹을 만한 것 좀 추천해주세요.,없음,없음,없음
홍대나 합정 쪽에 괜찮은 이자카야 있어?,없음,홍대,이자카야
점심으로 먹기 좋은 식당 추천해주세요.,점심,없음,없음
강남역 주변에 혼밥하기 좋은 식당이 있을까요?,없음,강남역,혼밥하기 좋은 식당
내일 뭐 먹지?,없음,없음,메뉴 선정
이태원의 분위기 좋은 바 추천해주세요.,저녁,이태원,분위기가 좋아야 함
종로3가에서 가볍게 한잔할곳 있나요?,없음,종로3가,가벼운 술자리
강남역 근처에 분위기 좋은 레스토랑 있나요?,없음,강남역,분위기 좋은 레스토랑
"강남, 역삼 쪽에 분위기 좋은 레스토랑 알려주세요.",없음,강남,분위기 좋은 레스토랑
이태원에서 분위기 좋은 술집 알려주세요~,저녁,이태원,술집
강남역 근처의 맛있는 초밥집 알려줘.,없음,강남역,초밥
"홍대입구역 근처에 분위기 좋고, 음식도 맛있는 식당이 있나요?",없음,홍대입구역,없음
강남역에서 점심 먹을만한 곳 있나요?,점심,강남역,없음
명동맛집추천해주세요!!,없음,명동,없음
강남역 주변에 맛있는 초밥집 있나요?,없음,강남역,초밥
제주도에서 흑돼지를 먹을 수 있는 맛집을 알고 있나요?,없음,제주도,흑돼지
이태원 데이트 코스 알려주세요!,없음,이태원,데이트 코스
강남역 주변 가성비 좋은 초밥집 추천해주세요.,점심,강남역,가성비 좋은 초밥집
강남역 주변에 분위기 좋은 레스토랑 있나요?,없음,강남역,분위기 좋은 레스토랑
서울 근교로 드라이브 갈만한 곳 어디 없을까?,없음,서울,드라이브
서울역 근처의 맛있는 집 추천 부탁드립니다.,없음,서울역,맛있음
홍대에서 소개팅 하기 좋은 곳 있나요?,저녁,홍대,소개팅
강남구청역 근처에 괜찮은 초밥집 추천해주세요.,없음,강남구청역,초밥
서울에서 갈만한 브런치 카페를 추천해주세요.,없음,서울,브런치 카페
홍대 근처에서 소개팅할만한 분위기 좋은 레스토랑 없을까요?,없음,홍대입구역,소개팅하기 좋은 레스토랑
홍대입구역 주변에 괜찮은 초밥집이 있을까요?,점심,홍대입구역,초밥
회사 회식 장소로 좋은 곳을 알려주세요.,저녁,서울시 마포구,고급스러운 분위기의 음식점
영등포역에서 제일 가까운 카페가 어디야?,없음,영등포역,가장 가까운 카페
강남역 주변에 맛집 알려줘~,저녁,강남역,없음
서울 근교로 드라이브를 갈만한 곳이 어디있을까요?,없음,서울,드라이브
저녁으로 먹을만한 거 추천해줘.,저녁,없음,없음
남자친구 생일인데 서울에서 데이트할만한 곳 추천해주세요.,없음,서울,데이트 장소
저녁으로 먹기 좋은 메뉴가 뭐가 있을까요?,저녁,없음,없음
서울 근교 드라이브 코스 추천해주세요.,없음,서울,없음
오늘 저녁엔 뭘 먹을까?,저녁,없음,없음
서울에서 놀만한 곳이 어디있을까요?,없음,서울,놀만한 곳
여기서 제일 가까운 편의점이 어디야?,없음,없음,가장 가까운 편의점
강남구청역 근처에 괜찮은 술집 있나요?,저녁,강남구청역,술집
홍대에 분위기 좋은 술집 있나요?,저녁,홍대,분위기
내일 점심은 어디서 먹을까?,점심,서울,없음
홍대근처의 괜찮은 레스토랑을 알려주세요.,없음,홍대,괜찮은 레스토랑
홍대 놀거리 추천해줘!,없음,홍대입구역,놀 거리
합정역 근처에 분위기 좋은 카페 있나요?,없음,합정역,분위기 좋은 카페
강남역에서 점심 먹을 만한 곳이 있을까요?,점심,강남역,없음
내일 저녁 8시에 어디서 만날까?,저녁,없음,만남
내일 점심은 뭘 먹을까요?,점심,없음,없음
강남역 주변에 소고기 먹을만한 곳 알려주세요~,없음,강남역,소고기
서울역 근처 혼밥하기 좋은 식당 알려주세요!,없음,서울역,혼밥하기 좋은 식당
여의도에서 점심 먹을만한 곳 추천해주세요.,점심,여의도,없음
압구정로데오역 근처에 있는 분위기 좋은 레스토랑을 알려주세요.,없음,압구정로데오역,분위기 좋은 레스토랑
종로3가역 근처에 맛있는 치킨집 어디있나요?,없음,종로3가역,치킨집
강남역에서 혼밥하기 좋은 식당 좀 알려주세요.,없음,강남역,혼밥하기 좋은 식당
오늘 저녁 메뉴 추천해주세요~,저녁,없음,한식
홍대나 신촌에서 분위기 좋은 술집 알려주세요.,저녁,홍대,분위기 좋은 술집
서울역 주변이나 용산구 쪽에 괜찮은 한정식 집 없을까요?,없음,서울역,한정식
대전역 근처에 괜찮은 횟집 좀 알려주세요.,없음,대전역,횟집
강남역 근처에 소개팅할만한 곳 없을까요?,없음,강남역,소개팅 장소
서울에서 가까운 바다 추천해주세요.,없음,없음,바다가 보이는 곳
여기서 제일 가까운 카페가 어디야?,없음,없음,가장 가까운 카페
종로3가 혼밥하기 좋은 식당 추천해주세요.,없음,종로3가,혼밥하기 좋은 식당
점심 뭐먹지?,없음,없음,없음
저녁에 뭘 먹을까?,저녁,없음,없음
친구들과 함께 갈만한 분위기 좋은 카페가 있을까요?,없음,없음,분위기 좋은 카페
강남역 주변에 회식 장소를 알아보고 있는데 어디가 좋을까요?,저녁,강남역,회식장소
왕십리역 근처에 괜찮은 술집 추천해주세요!,저녁,왕십리역,술집
강남역 주변에 괜찮은 고깃집 좀 알려주세요~,없음,강남역,고깃집
내일 점심은 어디서 먹지?,아침,없음,없음
강남역 주변에 맛집 알려주세요.,없음,강남역,없음
강남역에서 가까운 분위기 좋은 레스토랑을 추천해주세요.,없음,강남역,분위기 좋은 레스토랑
수원 영통구 망포동 주변에 괜찮은 중국집 없나요?,없음,망포동,중국집
이번 주말에 뭐하지?,없음,없음,없음
점심으로 어떤걸 먹는게 좋을까요?,점심,없음,없음
다음 주 수요일 저녁에 여자친구랑 갈만한 곳 추천해줘.,없음,없음,여자친구와 함께 방문 예정
강남역 주변에 분위기 좋은 레스토랑 있나요?,없음,강남역,분위기 좋은 레스토랑
이 근처에 맛있는 집 있어?,없음,없음,없음
지금 시간에 문 연 식당이 있을까요?,저녁,없음,24시 음식점
서울에서 맛있는 횟집 좀 알려주세요.,없음,서울,회
강남역 맛집 좀 알려주세요.,저녁,강남역,없음
서울에서 가장 분위기 좋고 맛도 괜찮은 이탈리안 레스토랑이 어디인가요?,없음,서울 전역,이탈리안 레스토랑
성수동에서 분위기 좋은 카페나 레스토랑 추천해주세요.,없음,성수동,분위기 좋은
강남역 주변에 맛집 좀 알려주라!,없음,강남역,없음
지금 당장 갈만한 맛집 좀 알려줘봐~,없음,없음,없음
내일 저녁은 뭘 먹을까?,저녁,없음,없음
강남역 근처에 맛있는 중국집 있나요?,없음,강남역,중식
나 내일 생일인데 뭐 먹을까?,없음,없음,없음
강남역 혼밥하기 좋은 곳 알려주세요~,없음,강남역,혼밥 가능한 곳
건대입구 쪽에 분위기 좋은 술집 있나요?,저녁,건대입구,분위기 좋은 술집
강남역 근처로 친구들이랑 놀러 갈 건데 놀 만한 곳 좀 알려줘.,없음,강남역,놀 만한 곳
혹시 홍대쪽에 괜찮은 술집 있나요?,저녁,홍대,분위기 좋고 안주가 맛있는 술집
강남역 쪽에 괜찮은 술집 있나요?,저녁,강남역,없음
홍대입구역 근처에서 친구들과 함께 갈만한 맛집 좀 알려줘.,없음,홍대입구역,없음
강남역 주변에 분위기 좋은 레스토랑 알려주세요.,없음,강남역,분위기
서울역 근처에 괜찮은 식당 있나요?,없음,서울역,없음
홍대입구역 근처 가성비 좋은 술집 알려주세요.,저녁,홍대입구역,가성비 좋은 술집
내일 저녁으로 뭘 먹을까 고민중인데 추천해주세요!,없음,없음,없음
점심에 먹기 좋은 메뉴를 추천해주세요.,점심,역삼동,없음
여자친구와 데이트할 때 갈만한 분위기 좋은 레스토랑 추천해주세요.,점심,홍대입구역,분위기 좋은 레스토랑
강남역 근처에서 소개팅하기 좋은 장소 알려줘.,없음,서울 강남역,소개팅
점심으로 먹기 좋은 음식 추천해주세요.,점심,없음,없음
서울에 있는 분위기 좋은 레스토랑 추천해줘.,저녁,서울,분위기 좋은 레스토랑
한양대 근처에 괜찮은 카페 있어?,없음,한양대학교,카페
서울에서 맛있는 식당 알려주세요.,점심,서울,맛이 중요함
서울역 근처에 맛있는 초밥집이 있나요?,없음,서울역,초밥
강남역 근처에 분위기 좋은 카페 어디있나요?,없음,강남역,분위기 좋은 카페
왕십리역 근처 분위기 좋은 술집이나 카페 좀 알려주세요.,저녁,왕십리역,"분위기 좋은 술집, 카페"
부산에 있는 호텔 뷔페를 예약하고 싶은데 어떻게 해야 하나요?,없음,부산,호텔 뷔페 예약
이태원 경리단길 분위기 좋은 카페 추천해주세요.,없음,이태원 경리단길,분위기 좋은 카페
건대입구역 주변의 분위기 좋은 레스토랑 추천해주세요.,점심,건대입구역,분위기 좋은 레스토랑
제주도 여행지 추천해주세요.,없음,제주도,없음
오늘 점심은 뭐 먹지?,점심,없음,없음
강남역근처 혼밥할만한곳 알려주세요!,없음,강남역,혼밥
오늘 저녁은 뭘 먹을까요?,없음,없음,없음
강남역 주변으로 분위기 좋은 술집 알려주세요.,저녁,강남역,분위기 좋은 술집
이태원이나 한남동 부근에 와인바 좀 추천해주세요.,없음,이태원,와인바
역삼동 맛집 알려줘~,없음,역삼동,없음
강남역 주변에 분위기 좋은 카페나 바 있어?,없음,강남역,분위기 좋은 카페 또는 바
강남역 근처에 맛있는 삼겹살집 있나요?,없음,강남역,삼겹살
홍대입구역에서 가까운 분위기 좋은 술집 알려줘.,저녁,홍대입구역,분위기 좋은 술집
지금 부산 해운대입니다. 저녁을 먹어야 하는데 어디가 좋을까요?,없음,부산 해운대,없음
홍대입구역 근처에 분위기 좋은 레스토랑이 있을까요?,없음,홍대입구역,분위기 좋은 레스토랑
강남역 주변에 괜찮은 식당 있나요?,없음,강남역,없음
혹시 너네 집 주변에 괜찮은 술집 있나?,저녁,없음,분위기 좋은 술집
"여자친구랑 데이트 할건데, 가로수길이나 압구정로데오쪽으로 맛있는 곳 알려줘!",없음,가로수길,맛이 있어야 함
점심으로 먹기 좋은 음식점 알려주세요.,없음,없음,없음
홍대입구역 근처 점심으로 먹을만한곳 추천해주세요~,없음,홍대입구역,없음
왕십리역 근처에 괜찮은 술집 있어?,저녁,왕십리역,없음
강남에서 소개팅 할만한 레스토랑 추천해주세요.,없음,강남구,소개팅할 만한 레스토랑
내일 점심으로 먹을만한 거 추천해줘.,없음,없음,없음
분당 정자동 카페거리에 분위기 좋은 레스토랑 추천해주세요.,없음,정자동 카페거리,분위기 좋은 레스토랑
인천공항에서 서울까지 택시요금 얼마정도 나올까요?,없음,인천공항,택시비
우리 오늘 어디서 만날까?,없음,없음,없음
강남역 근처에 맛집 추천해줘.,없음,강남역,없음
5월 12일 점심에 한양대학교 근처에서 뭐 먹을지 골라줘. 느끼한 음식은 싫어.,점심,한양대학교,느끼하지 않은 음식 판매
강남역 주변에 분위기 좋은 카페 있나요?,없음,강남역,분위기 좋은 카페
혹시 홍대입구역 근처에 괜찮은 카페 있나요?,없음,홍대입구역,카페
이태원에서 저녁 먹을건데 분위기 좋은 레스토랑 추천해줘요.,저녁,이태원,분위기 좋은 레스토랑
서울에서 친구들과 술 마실만한 장소를 찾아줘.,없음,서울,술집
내가 제일 좋아하는 음식은 무엇일까?,없음,없음,없음
강남역 근처에 점심 먹기 좋은 식당이 어디있을까요?,점심,강남역,없음
수원역 주변에 괜찮은 카페 있나요?,없음,수원역,괜찮은 카페
이 근처에 맛있는 곳 어디 없나?,없음,없음,없음
강남역근처 분위기 좋은 술집 알려주세요.,저녁,강남역,분위기 좋은 술집
서울 근교 드라이브 코스 추천해주세요.,없음,서울,드라이브 코스
강남역 근처에서 맛있는 파스타집 좀 알려주세요.,점심,강남역,파스타
내일 저녁에 친구들이랑 술마시러 갈건데 어디가 좋을까?,저녁,서울,술집
내일 아침은 뭘 먹을까?,아침,없음,없음
요즘 날씨도 좋은데 놀러갈만한 곳 없을까?,없음,없음,여행지
내일 저녁에 갈만한 식당을 추천해줘.,저녁,서울특별시 종로구,한식 또는 양식
왕십리에서 혼자 술먹기 좋은 술집 알려주세요~,저녁,왕십리,"혼술, 분위기 좋음"
압구정로데오역 근처 카페 추천해주세요.,없음,압구정로데오역,카페
강남역 주변에 괜찮은 파스타집 있나요?,점심,강남역,맛있는 파스타 집
종로3가 맛집 알려주세요~~,없음,종로3가,없음
서울시립대 근처 맛집 알려줘.,없음,서울시립대,없음
점심으로 먹기 좋은 음식점 추천해주세요.,점심,없음,없음
강남역에서 분위기 좋은 술집 알려줘.,저녁,강남역,분위기 좋은 술집
을지로3가역 근처에 분위기 좋은 술집 어디 없나요?,저녁,을지로3가역,분위기 좋은 술집
강남역에서 소개팅하기 좋은 레스토랑 추천해주세요.,없음,강남역,소개팅하기 좋은 분위기의 레스토랑
강남역 맛집 추천해주세요.,점심,강남역,없음
강남역 주변에 조용한 카페 있나요?,없음,강남역,조용한 카페
혹시 여기서 제일 맛있는 메뉴가 뭐에요?,없음,없음,없음
한양대 주변 가성비 좋은 초밥집 있나요?,없음,한양대학교,가성비 좋은 초밥집
건대입구쪽에서 맛있는 집 아시는 분 있나요?,없음,건대입구,모름
가로수길 쪽에 파스타집 추천해주세요!,없음,가로수길,파스타
강남쪽 분위기 좋은 술집 알려주세요~,저녁,강남,분위기 좋은 술집
압구정로데오거리 쪽에 분위기 좋은 카페나 레스토랑 있으면 알려주세요~,없음,압구정로데오거리,"분위기 좋은 카페, 레스토랑"
강남역 근처에서 여자친구랑 데이트하기 좋은 레스토랑 알려주세요.,점심,강남역,여자친구와 데이트 하기 좋은 곳
강남역 근처에 분위기 좋은 레스토랑 추천해주세요.,없음,강남역,분위기
성수동 카페거리 가볼만한 곳 있나요?,없음,성수동 카페거리,가볼만한 곳
강남역이나 신논현역 근처 점심식사 할만한 곳 알려주세요.,없음,강남역,없음
홍대입구역 근처에 맛있는 곱창집 알려주세요.,없음,홍대입구역,곱창
강남역 주변에 혼밥하기 좋은 음식점 있나요?,없음,강남역,혼밥 가능
오늘 점심은 뭘 먹을까?,점심,없음,없음
점심은 뭐 먹지?,점심,없음,없음
오늘 오후 7시쯤에 강남역 주변에서 친구랑 밥먹을건데 어디가 좋을까?,저녁,강남역,없음
"이번 주말에 남자친구랑 데이트하러 갈건데, 분위기 좋은 레스토랑 추천해줘!",없음,서울,분위기 좋은 레스토랑
저녁 메뉴로 치킨 vs 피자 중 하나만 골라줘.,저녁,없음,치킨 vs 피자
"성수동 카페거리를 가려고 하는데, 주차가 가능한 카페는 어디인가요?",없음,성수동 카페거리,주차가 가능해야 함
서울 근교로 놀러갈만한 곳 있나요?,없음,서울,여행지
강남역 주변의 맛집 좀 알려주세요.,없음,강남역,없음
신촌근처에 혼밥하기 좋은 식당있나요?,없음,신촌,혼밥
분당 서현동 맛집 좀 알려주세요.,없음,분당 서현동,없음
대전 유성구쪽에 분위기 좋고 맛있는 파스타집 있을까요?,없음,대전 유성구,분위기 좋고 맛있는 파스타집
서울 근교의 캠핑장 좀 추천해주세요.,없음,서울,캠핑장
서울에서 혼자 갈만한 술집 추천해주세요.,저녁,서울,혼술하기 좋은 곳
이태원에 분위기 좋은 카페가 있나요?,없음,이태원,분위기 좋은 카페
강남역 근처에 괜찮은 술집 있나요?,저녁,강남역,없음
이번주 토요일날 친구랑 둘이서 갈만한 맛집 있을까요?,없음,서울,없음
홍대나 신촌 쪽에 분위기 좋은 술집 없나요?,저녁,홍대,분위기 좋은 술집
홍대입구역 근처의 분위기 좋은 카페를 알려주세요.,없음,홍대입구역,분위기 좋은 카페
홍대에서 여자친구랑 데이트하기 좋은 곳이 있을까요?,없음,홍대입구역,데이트 장소
점심 뭐먹지?,없음,없음,없음
홍대나 합정 쪽에 괜찮은 카페 있나요?,없음,홍대,카페
강남에서 친구들과 모임하기 좋은 장소가 어디일까요?,없음,강남구,모임장소
강남역 근처에 분위기 좋은 레스토랑을 찾고 있어요. 어디가 좋을까요?,저녁,강남역,레스토랑
서울역 근처 점심으로 먹을만한 곳 있나요?,없음,서울역,없음
오늘 점심으로 맛있는 햄버거를 먹고 싶어요.,점심,서울 전역,햄버거
서울역근처 괜찮은 식당 있나요?,없음,서울역,괜찮은 식당
강남역 근처에 분위기 좋은 레스토랑 있나요?,점심,강남역,분위기 좋은 레스토랑
홍대입구역에서 가까운 카페 어디가 있을까요?,없음,홍대입구역,역근처카페
서울시 성동구에서 퓨전 요리를 먹을 수 있는 맛집을 추천해주세요.,없음,서울시 성동구,퓨전 요리
요즘은 어떤 책이 재미있나요?,없음,없음,도서
서울역 근처에 파스타를 먹을 수 있는 맛집이 있을까요?,없음,서울역,파스타
건대입구역 근처의 분위기 좋은 술집을 알려줘.,저녁,건대입구역,분위기 좋은 술집
여기서 가장 가까운 맛집이 어디야?,없음,없음,없음
여기 주변에 괜찮은 술집 좀 알려줘.,저녁,없음,없음
강남역 근처에서 소개팅하기 좋은 곳 추천해주세요.,없음,강남역,소개팅 장소
강남역 주변에 혼자 밥 먹기 좋은 조용한 식당이 있을까요?,점심,강남역,"혼밥, 조용한 식당"
"서울시 중구 을지로0가, 명동 인근의 분위기 좋은 식당 알려줘.",없음,명동,분위기 좋은 식당
강남역 근처에 맛있는 고깃집이 어디야?,없음,강남역,고깃집
내일 점심은 뭐 먹을까?,점심,서울 강남구,없음
이태원에서 분위기 좋은 식당 추천해줘.,없음,이태원,분위기 좋은 곳
강남역 주변에서 소개팅할만한 장소 추천해주세요.,저녁,강남역,소개팅
홍대나 신촌쪽에 분위기 좋은 술집좀 추천해주세요!,저녁,홍대,술집
오늘 점심은 뭐 먹지?,점심,없음,없음
신사동 가로수길에서 데이트하기 좋은 곳이 어디인가요?,저녁,신사동 가로수길,데이트 장소
"다음주 수요일 저녁 7시에 종로에서 친구들과 모임이 있는데, 괜찮은 레스토랑 알려줘.",없음,종로,없음
강남역 근처의 분위기 좋은 와인바를 추천해주세요.,저녁,강남역,와인바
홍대근처에 괜찮은 술집 추천해주세요.,저녁,홍대입구역,술집
강남역 주변 맛집 알려주세요~,없음,강남역,없음
이태원에서 분위기 좋은 술집 알려주세요.,저녁,이태원,분위기 좋은 술집
왕십리 엔터식스 안에 있는 맛집 좀 알려주세요.,없음,왕십리 엔터식스,없음
건대입구에 괜찮은 술집 좀 알려줘.,저녁,건대입구,술 마시기 좋은 곳
강남역 근처에서 점심을 먹어야 하는데 괜찮은 곳 없을까?,점심,강남역,없음
제주도에서 흑돼지를 먹을 수 있는 맛집을 알려주세요.,없음,제주도,흑돼지
홍대입구역 근처에 분위기 좋은 카페 있나요?,없음,홍대입구역,분위기 좋은 카페
강남역 근처에 맛있는 고깃집 추천해주세요.,없음,강남역,맛있는 고깃집
가로수길 파스타 맛있는 집 좀 알려주세요.,없음,가로수길,파스타
서울에 있는 분위기 좋은 레스토랑 추천해주세요.,없음,서울,레스토랑
점심은 어디서 먹을까요?,점심,없음,없음
오늘 점심은 뭘 먹을까요?,점심,없음,없음
부산 여행 코스 좀 짜주세요.,없음,부산,없음
건대입구역 주변에 분위기 좋은 카페나 술집있나요?,저녁,건대입구역,분위기가 좋아야 함
친구들이랑 같이 갈만한 홍대 술집 추천해줘.,저녁,홍대,술집
건대입구에서 데이트하기 좋은 곳 추천해주세요~,없음,건대입구,데이트 장소
강남역 주변에 맛집 좀 알려주세요.,점심,강남역,없음
강남역에서 회식할건데 괜찮은 곳 있을까요?,없음,강남역,회식장소
오늘 저녁 뭐 먹지?,없음,없음,저녁 메뉴
서울 근교 여행지 추천해주세요.,없음,서울,당일치기 가능한 곳
강남역 근처에 소개팅 하기 좋은 레스토랑이 어디야?,없음,강남역,소개팅하기 좋은 레스토랑
서울 근교로 드라이브 갈만한 곳 좀 알려주세요~,없음,서울,드라이브
강남역 주변에 맛있는 중국집이 어디인가요?,없음,강남역,맛있는 중국집
강남역 주변에 혼밥하기 좋은 곳 알려주세요.,없음,강남역,혼밥
강남역 주변 맛집 알려줘.,없음,강남역,"한식, 양식, 일식 중 하나를 선택해야 함"
강남역에서 친구랑 둘이 술 한잔 할 건데 어디가 좋을까요?,없음,강남역,2명이서 즐길 수 있는 술집
홍대입구역 근처에 맛있는 파스타집 있나요?,없음,홍대입구역,파스타
오늘 저녁은 뭐 먹지?,저녁,서울 전역,없음
종로 근처에 맛있는 횟집 추천해주세요.,점심,종로,맛있는 횟집
점심으로 먹기 좋은 메뉴가 뭐가 있을까요?,점심,없음,없음
홍대입구역 근처에 분위기 좋은 카페 추천해주세요.,없음,홍대입구역,분위기 좋은 카페
제주도 흑돼지 맛집 알려주세요.,없음,제주도,흑돼지
강남역 근처에 삼겹살 맛집 좀 알려주세요.,없음,강남역,삼겹살
대학로에서 데이트하기 좋은 곳 좀 알려주세요~,없음,대학로,데이트 코스
강남역이나 역삼역 근처에 파스타 맛집 알려주세요~,없음,강남역,파스타
홍대입구역에서 가까운 맛집 있나요?,없음,홍대입구역,없음
내일 점심으로 먹기 좋은 한식집을 추천해 주세요.,점심,없음,한식
홍대에서 맥주한잔 하기 좋은 곳 추천해주세요~,없음,홍대입구역,맥주 한잔 할만한 곳
강남역 근처에서 브런치로 먹을만한 음식점을 알려주세요.,점심,강남역,브런치
점심은 뭐 먹지?,점심,없음,아무거나
내일 점심으로 먹기 좋은 메뉴가 뭐가 있을까요?,점심,없음,없음
가장 가까운 편의점이 어디야?,없음,없음,편의점 위치
지금 서울 날씨 어때요?,없음,서울,현재 날씨
서울에서 갈 만한 곳이 어디있을까요?,없음,서울,여행지
밤 늦게까지 먹을 수 있는 야식집 추천해주세요.,저녁,없음,밤늦게까지 운영하는 곳
오늘 저녁으로 먹기 좋은 메뉴를 알려줘.,저녁,서울특별시 종로구,없음
광화문에서 혼밥할건데 어디가 좋을까요?,없음,광화문,혼밥
서울에서 맛있는 음식점은 어디가 있나요?,없음,서울,없음
강남구청역 근처에 맛집 있을까요?,없음,강남구청역,없음
제주도 서귀포시에 흑돼지 맛집 알려주세요.,없음,제주도 서귀포시,흑돼지
강남구청역 근처에 괜찮은 레스토랑 있나요?,없음,강남구청역,레스토랑
강남역에서 점심으로 먹기 좋은 맛집 있나요?,점심,강남역,없음
가로수길 맛집 중 가성비 좋은 곳 알려줘.,점심,가로수길,가성비
강남역 주변 회식장소 추천해주세요~,없음,강남역,회식장소
강남역 근처로 해서 소개팅 장소 좀 추천해주세요.,없음,강남역,소개팅 장소
이 근처에 괜찮은 식당이 어디 있나요?,점심,없음,없음
서울에서 맛있는 곳은 어디인가요?,없음,서울,없음
강남역 주변에 혼밥 할 만한곳 추천해주세요!,없음,강남역,혼밥 가능한 음식점
강남역에서 데이트하기 좋은 식당 추천해주세요.,점심,강남역,데이트
홍대나 합정역쪽에 맛있는 초밥집 있나요?,없음,홍대,초밥
강남역 주변으로 친구들과 가기 좋은 술집 알려주세요.,저녁,강남역,친구들과 술 마시기 좋은 곳
강남구청역 근처에 점심으로 먹기 좋은 음식점 있나요?,없음,강남구청역,없음
오늘 밤 10시 이후로 서울역 근처에서 술 마실 곳 추천해줘.,저녁,서울역,술 마시기 좋은 곳
요즘 핫한 맛집을 알려줘!,없음,없음,없음
홍대 근처에서 소개팅 할만한 장소를 알려주세요.,없음,홍대입구역,소개팅 하기 좋은 곳
서울 근교로 드라이브 갈만한 곳 알려줘.,없음,서울,드라이브
오늘은 왠지 치킨이 땡기네요. 어디가 맛있을까요?,없음,없음,치킨
요즘 핫한 맛집은 어디인가요?,점심,강남역,없음
강남역 근처에 괜찮은 술집 있나요?,저녁,강남역,괜찮은 술집
